Method,Cost
java/lang/StrictMath/pow,6
java/lang/StrictMath/cbrt,6
java/lang/StrictMath/sqrt,6
java/lang/StrictMath/exp,6
java/lang/StrictMath/abs,2
java/lang/StrictMath,4
java/lang/Boolean,2
java/lang/Byte,2
java/lang/Character,2
java/lang/Double,4
java/lang/Float,2
java/lang/Integer,2
java/lang/Long,4
java/lang/Boolean,2
java/lang/Short,2
java/lang/Boolean,2
java/lang/String,2
java/lang/Number,4
java/lang/StringBuilder,4
java/util/Arrays,40
java/util/ArrayList,40
java/util/HashMap,64
java/util/HashSet,64
