Opcode,Cost,Hint,,,
0,0,NOP,Do nothing,,
1,2,ACONST_NULL,Push the null object reference onto the operand stack.,,
2,2,ICONST_M1,pushes int -1 onto the stack,32-bit val,
3,2,ICONST_0,pushes int 0 onto the stack,32-bit val,
4,2,ICONST_1,pushes int 1 onto the stack,32-bit val,
5,2,ICONST_2,pushes int 2 onto the stack,32-bit val,
6,2,ICONST_3,pushes int 3 onto the stack,32-bit val,
7,2,ICONST_4,pushes int 4 onto the stack,32-bit val,
8,2,ICONST_5,pushes int 5 onto the stack,32-bit val,
9,4,LCONST_0,pushes long 0 onto the stack,64-bit val,
10,4,LCONST_1,pushes long 1 onto the stack,64-bit val,
11,2,FCONST_0,pushes float 0 onto the stack,32-bit val,
12,2,FCONST_1,pushes float 1 onto the stack,32-bit val,
13,2,FCONST_2,pushes float 2 onto the stack,32-bit val,
14,4,DCONST_0,pushes double 0 onto the stack,64-bit val,
15,4,DCONST_1,pushes double 1 onto the stack,64-bit val,
16,2,BIPUSH,expands byte1 (a byte type) to an int and pushes it onto the stack,,
17,2,SIPUSH,expands byte1 and byte2 (a short type) to an int and pushes it onto the stack,,
18,2,LDC,pushes 32-bit constant_pool entry specified by indexbyte1 onto the stack,,
19,2,LDC_W,Push  32-bit item from run-time constant pool (wide index),,
20,4,LDC2_W,Push 64-bit item from run-time constant pool (wide index),,
21,2,ILOAD,Load int from local variable,32-bit val,1 slot
22,4,LLOAD,Load long from local variable,64-bit val,2 slots
23,2,FLOAD,Load float from local variable,,
24,4,DLOAD,Load double from local variable,,
25,2,ALOAD,Load reference from local variable,,
46,2,IALOAD,Load int from array,,
47,4,LALOAD,Load long from array,,
48,2,FALOAD,Load float from array,,
49,4,DALOAD,Load double from array,,
50,2,AALOAD,Load reference from array,,
51,1,BALOAD,Load byte or boolean from array,,
52,2,CALOAD,Load char from array,,
53,2,SALOAD,Load short from array,,
54,2,ISTORE,Store int into local variable,,
55,4,LSTORE,Store long into local variable,,
56,2,FSTORE,Store float into local variable,,
57,4,DSTORE,Store double into local variable,,
58,2,ASTORE,Store reference into local variable,,
79,2,IASTORE,Store into int array,,
80,4,LASTORE,Store into long array,,
81,2,FASTORE,Store float long array,,
82,4,DASTORE,Store double long array,,
83,2,AASTORE,Store into reference array,,
84,1,BASTORE,Store into byte or boolean array,,
85,2,CASTORE,Store into char array,,
86,2,SASTORE,Store into short array,,
87,2,POP,Pop the top operand stack value,,
88,2,POP2,Pop the top one or two operand stack values,,
89,4,DUP,Duplicate the top operand stack value,,
90,4,DUP_X1,Duplicate the top operand stack value and insert two values down,,
91,4,DUP_X2,Duplicate the top operand stack value and insert two or three values down,,
